show_title,category,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,directors,directors_name
The Monkey King,Films (English),tt8637498,movie,The Monkey King,The Monkey King,0,2023,\N,97,"Action,Adventure,Animation",5.8,4958,nm0820934,Anthony Stacchi
Heart of Stone,Films (English),tt13603966,movie,Heart of Stone,Heart of Stone,0,2023,\N,122,"Action,Crime,Thriller",5.7,51337,nm2197777,Tom Harper
You Are So Not Invited to My Bat Mitzvah,Films (English),tt21276878,movie,You Are So Not Invited to My Bat Mitzvah,You Are So Not Invited to My Bat Mitzvah,0,2023,\N,103,Comedy,6,20590,nm3852987,Sammi Cohen
Street Kings,Films (English),tt0421073,movie,Street Kings,Street Kings,0,2008,\N,109,"Action,Crime,Thriller",6.8,118993,nm0043742,David Ayer
The Boss Baby,Films (English),tt3874544,movie,The Boss Baby,The Boss Baby,0,2017,\N,97,"Adventure,Animation,Comedy",6.3,136944,nm0569891,Tom McGrath
Jurassic World: Fallen Kingdom,Films (English),tt4881806,movie,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,0,2018,\N,128,"Action,Adventure,Sci-Fi",6.1,335303,nm1291105,J.A. Bayona
The Pope's Exorcist,Films (English),tt13375076,movie,The Pope's Exorcist,The Pope's Exorcist,0,2023,\N,103,"Horror,Thriller",6.1,69351,nm1170339,Julius Avery
Half Brothers,Films (English),tt27499027,movie,Half Brothers,Half Brothers,0,2023,\N,\N,Drama,,,nm5150818,Charles Uwagbai
Madagascar,Films (English),tt0351283,movie,Madagascar,Madagascar,0,2005,\N,86,"Adventure,Animation,Comedy",6.9,425929,"nm0569891,nm0201509","Eric Darnell, Tom McGrath"
Dora and the Lost City of Gold,Films (English),tt7547410,movie,Dora and the Lost City of Gold,Dora and the Lost City of Gold,0,2019,\N,102,"Action,Adventure,Comedy",6.1,33440,nm0090386,James Bobin
A Life Too Short: The Isabella Nardoni Case,Films (Non-English),tt28552695,movie,A Life Too Short: The Isabella Nardoni Case,Isabella: O Caso Nardoni,0,2023,\N,104,"Crime,Documentary",6,913,"nm3467161,nm0543526","Cláudio Manoel, Micael Langer"
