show_title,weekly_hours_viewed,month_of_year,year,category,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,directors,directors_name,date_temp,quarter,quart_years
Fear Street Part 1: 1994,59780000,July,2021,Films,tt6566576,movie,Fear Street: Part One - 1994,Fear Street: 1994,,2021.0,,107.0,"Drama,Horror,Mystery",6.2,90677.0,nm4074404,Leigh Janiak,2021-07-01,3,2021-Q3
Major Grom: Plague Doctor,54390000,July,2021,Films,tt7601480,movie,Major Grom: Plague Doctor,Mayor Grom: Chumnoy Doktor,NO,2021.0,,136.0,"Action,Crime",6.3,13248.0,nm8251673,Oleg Trofim,2021-07-01,3,2021-Q3
Fatherhood,46300000,July,2021,Films,tt18571782,movie,Fatherhood,Fatherhood,YES,2021.0,,,Adult,,,,,2021-07-01,3,2021-Q3
Fear Street Part 2: 1978,41980000,July,2021,Films,tt9701940	,movie,Fear Street: Part Two - 1978,Fear Street: 1978,,2021.0,,109.0,"Drama,Horror,Mystery",,,,,2021-07-01,3,2021-Q3
Blood Red Sky,35930000,July,2021,Films,tt6402468,movie,Blood Red Sky,Blood Red Sky,NO,2021.0,,121.0,"Action,Adventure,Drama",6.1,53168.0,nm0861826,Peter Thorwarth,2021-07-01,3,2021-Q3
Wish Dragon,34400000,July,2021,Films,tt5562070,movie,Wish Dragon,Wish Dragon,NO,2021.0,,98.0,"Adventure,Animation,Comedy",7.2,31751.0,nm2282774,Chris Appelhans,2021-07-01,3,2021-Q3
Fear Street Part 3: 1666,32430000,July,2021,Films,tt15065912,tvEpisode,Fear Street Part 3: 1666,Fear Street Part 3: 1666,NO,2021.0,,,"Comedy,Horror,Talk-Show",,,,,2021-07-01,3,2021-Q3
Haseen Dillruba,24630000,July,2021,Films,tt11027830,movie,Haseen Dillruba,Haseen Dillruba,NO,2021.0,,135.0,"Crime,Drama,Mystery",6.9,28893.0,nm5932553,Vinil Mathew,2021-07-01,3,2021-Q3
Twilight,20190000,July,2021,Films,tt4242732,movie,Twilight,Sayeh Roshan,NO,2013.0,,,Drama,4.5,68.0,nm1288038,Farzad Motamen,2021-07-01,3,2021-Q3
How I Became a Superhero,18680000,July,2021,Films,tt10345590,movie,How I Became a Super Hero,Comment je suis devenu super-héros	,,2020.0,,97.0,"Action,Adventure,Comedy",5.8,5905.0,nm2537631,Douglas Attal,2021-07-01,3,2021-Q3
Warcraft,18640000,July,2021,Films,tt0803096,movie,Warcraft,Warcraft,NO,2016.0,,123.0,"Action,Adventure,Fantasy",6.7,274064.0,nm1512910,Duncan Jones,2021-07-01,3,2021-Q3
The Kissing Booth 3,126590000,August,2021,Films,tt12783454,movie,The Kissing Booth 3,The Kissing Booth 3,NO,2021.0,,112.0,"Comedy,Romance",4.8,20362.0,nm1479803,Vince Marcello,2021-08-01,3,2021-Q3
Sweet Girl,105300000,August,2021,Films,tt10731768,movie,Sweet Girl,Sweet Girl,NO,2021.0,,110.0,"Action,Drama,Thriller",5.5,34358.0,nm1892926,Brian Andrew Mendoza,2021-08-01,3,2021-Q3
Vivo,94380000,August,2021,Films,tt6338498,movie,Vivo,Vivo,NO,2021.0,,95.0,"Adventure,Animation,Comedy",6.7,20985.0,"nm0210320,nm2859976","Kirk DeMicco, Brandon Jeffords",2021-08-01,3,2021-Q3
Blood Red Sky,79680000,August,2021,Films,tt6402468,movie,Blood Red Sky,Blood Red Sky,NO,2021.0,,121.0,"Action,Adventure,Drama",6.1,53168.0,nm0861826,Peter Thorwarth,2021-08-01,3,2021-Q3
Resort to Love,67710000,August,2021,Films,tt12929990,movie,Resort to Love,Resort to Love,NO,2021.0,,101.0,"Comedy,Romance",5.7,6588.0,nm1286069,Steven K. Tsuchida,2021-08-01,3,2021-Q3
The Last Mercenary,52920000,August,2021,Films,tt12808182,movie,The Last Mercenary,Le dernier mercenaire,NO,2021.0,,110.0,"Action,Adventure,Comedy",5.3,9473.0,nm1925637,David Charhon,2021-08-01,3,2021-Q3
Beckett,47450000,August,2021,Films,tt10230994,movie,Beckett,Beckett,NO,2021.0,,110.0,"Action,Crime,Drama",5.7,27799.0,nm2982028,Ferdinando Cito Filomarino,2021-08-01,3,2021-Q3
He's All That,42810000,August,2021,Films,tt4590256,movie,He's All That,He's All That,NO,2021.0,,88.0,"Comedy,Romance",4.4,27582.0,nm0914132,Mark Waters,2021-08-01,3,2021-Q3
Aftermath,40070000,August,2021,Films,tt21572042,movie,Aftermath,Aftermath,NO,2023.0,,78.0,"Drama,Mystery,Sci-Fi",7.2,37.0,"nm4179756,nm4179869","Gergö Elekes, József Gallai",2021-08-01,3,2021-Q3
Hotel Transylvania 3: Summer Vacation,36260000,August,2021,Films,tt5220122,movie,Hotel Transylvania 3: Summer Vacation,Hotel Transylvania 3: Summer Vacation,NO,2018.0,,97.0,"Adventure,Animation,Comedy",6.3,81821.0,nm0850733,Genndy Tartakovsky,2021-08-01,3,2021-Q3
