quart_years,quarter_view,runtimeMinutes,averageRating,top1,top2,top3,category,Revenue,year
2021-Q3,46.61,110.29,6.06,Drama,Action,Adventure,Films,7483.0,2021
2021-Q4,63.51,108.77,6.27,Comedy,Drama,Action,Films,7709.0,2021
2022-Q1,60.05,106.41,6.23,Comedy,Drama,Adventure,Films,7868.0,2022
2022-Q2,50.81,110.58,5.85,Comedy,Drama,Action,Films,7970.0,2022
2022-Q3,67.02,106.66,5.92,Comedy,Drama,Romance,Films,7926.0,2022
2022-Q4,64.47,113.37,6.48,Drama,Comedy,Action,Films,7852.0,2022
2023-Q1,50.52,112.55,6.19,Drama,Comedy,Adventure,Films,8162.0,2023
2023-Q2,50.63,114.97,6.2,Action,Drama,Thriller,Films,8187.0,2023
2023-Q3,38.56,105.03,5.85,Comedy,Action,Adventure,Films,8542.0,2023
2023-Q4,54.53,111.7,6.02,Drama,Thriller,Mystery,Films,,2023
2021-Q3,146.84,43.5,7.23,Drama,Comedy,Romance,TV,7483.0,2021
2021-Q4,202.1,31.0,7.48,Drama,Short,Talk-Show,TV,7709.0,2021
2022-Q1,180.15,84.96,7.47,Drama,Crime,Romance,TV,7868.0,2022
2022-Q2,158.78,74.92,7.08,Drama,Crime,Romance,TV,7970.0,2022
2022-Q3,171.09,86.91,7.34,Drama,Romance,Action,TV,7926.0,2022
2022-Q4,175.71,117.06,7.58,Drama,Action,Mystery,TV,7852.0,2022
2023-Q1,165.0,87.56,7.07,Drama,Action,Talk-Show,TV,8162.0,2023
2023-Q2,133.18,67.43,6.91,Drama,Action,Thriller,TV,8187.0,2023
2023-Q3,113.09,103.15,6.89,Drama,Crime,Romance,TV,8542.0,2023
2023-Q4,115.7,217.25,7.66,Drama,Crime,Action,TV,,2023
2021-Q3,96.72,79.46,6.53,Drama,Comedy,Action,All,7483.0,2021
2021-Q4,132.8,82.3,6.8,Drama,Comedy,Action,All,7709.0,2021
2022-Q1,120.1,97.44,6.82,Drama,Comedy,Crime,All,7868.0,2022
2022-Q2,104.79,95.21,6.41,Drama,Comedy,Action,All,7970.0,2022
2022-Q3,119.06,98.4,6.57,Drama,Comedy,Romance,All,7926.0,2022
2022-Q4,120.09,114.75,6.94,Drama,Action,Comedy,All,7852.0,2022
2023-Q1,107.76,100.98,6.6,Drama,Comedy,Action,All,8162.0,2023
2023-Q2,91.9,92.41,6.53,Drama,Action,Thriller,All,8187.0,2023
2023-Q3,75.83,104.18,6.34,Drama,Comedy,Action,All,8542.0,2023
2023-Q4,85.11,158.61,6.84,Drama,Crime,Action,All,,2023
